排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,雷達等級,風險說明,雷達強度,收盤價,當天成交量(張),price_source,price_source_status,market_date,official_rank_eligible,市場,年月,單月營收_千元,月營收金額,去年同月營收,月資料,revenue_month,日資料,資料版本,追蹤狀態,風險標籤
1,5522,遠雄,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 191.6%，月增 182.2%，符合低基期轉強預篩,+191.64%,+182.24%,是,是,否,是,是,S,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,90.0,64.9,3407,yfinance,verified,2026-06-25,True,上市,2026-05,646613,6.47億元,2.22億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
2,8422,可寧衛*,綠能環保;循環經濟,再生能源、環保處理、循環經濟或節能相關公司。,營收年增 199.6%，月增 227.6%，符合低基期轉強預篩,+199.61%,+227.59%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,28.4,4821,yfinance,verified,2026-06-25,True,上市,2026-05,1272922,12.73億元,4.25億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
3,6901,鑽石投資,其他,其他相關公司，需再追蹤產品組合與主要客戶。,營收年增 407.5%，月增 22.3%，符合低基期轉強預篩,+407.46%,+22.34%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.7,18.95,6243,yfinance,verified,2026-06-25,True,上市,2026-05,692717,6.93億元,1.37億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
4,2543,皇昌,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 86.1%，月增 15.6%，符合低基期轉強預篩,+86.14%,+15.57%,是,是,否,是,否,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.2,39.5,1125,yfinance,verified,2026-06-25,True,上市,2026-05,1548459,15.48億元,8.32億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
5,6691,洋基工程,AI伺服器供應鏈;設備;電子製造服務,電子製造服務、設備、材料或AI伺服器供應鏈公司。,營收年增 82.4%，月增 34.2%，符合低基期轉強預篩,+82.36%,+34.17%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.8,785.0,1209,yfinance,verified,2026-06-25,True,上市,2026-05,3835624,38.36億元,21.03億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
6,8112,至上,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 253.2%，月增 53.8%，符合低基期轉強預篩,+253.18%,+53.79%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,95.0,8337,yfinance,verified,2026-06-25,True,上市,2026-05,53921149,539.21億元,152.67億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
7,6442,光聖,網通;光通訊;CPO,網通設備、通訊模組、光通訊或電信設備相關公司。,營收年增 116.0%，月增 94.7%，符合低基期轉強預篩,+116.02%,+94.67%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,1875.0,1755,yfinance,verified,2026-06-25,True,上市,2026-05,1725672,17.26億元,7.99億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
8,3041,揚智,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 97.9%，月增 45.3%，符合低基期轉強預篩,+97.94%,+45.28%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,63.1,29.55,2864,yfinance,verified,2026-06-25,True,上市,2026-05,173813,1.74億元,"8,781萬元",2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,一般觀察
9,4967,十銓,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 112.6%，月增 26.8%，符合低基期轉強預篩,+112.59%,+26.84%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,58.1,277.5,3243,yfinance,verified,2026-06-25,True,上市,2026-05,2555598,25.56億元,12.02億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
10,2885,元大金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 928.4%，月增 23.2%，符合低基期轉強預篩,+928.42%,+23.23%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,57.0,66.5,15244,yfinance,verified,2026-06-25,True,上市,2026-05,21261028,212.61億元,20.67億元,2026-05 月營收,2026-05,2026-06-25 收盤價/成交量,營收 2026-05｜行情 2026-06-25,研究觀察,觀察順位較後
